"","AGE1","PRDTRACE","PRDASIAN","A_MJOCC","PEIO1COW","PH_SEQ","GEDIV","GEREG","GESTFIPS","HEFAMINC","H_TYPEBC","H_YEAR","H_MONTH"
"1",12,1,-1,0,0,1,1,1,23,4,0,2021,3
"2",12,1,-1,7,4,1,1,1,23,4,0,2021,3
"3",17,1,-1,0,0,1,1,1,23,4,0,2021,3
"4",15,1,-1,2,5,2,1,1,23,14,0,2021,3
"5",15,1,-1,10,4,2,1,1,23,14,0,2021,3
"6",6,1,-1,10,4,2,1,1,23,14,0,2021,3
"7",16,1,-1,0,0,3,1,1,23,7,0,2021,3
"8",10,1,-1,0,0,8,1,1,23,14,0,2021,3
"9",0,1,-1,0,0,8,1,1,23,14,0,2021,3
"10",10,1,-1,1,7,8,1,1,23,14,0,2021,3
"11",17,1,-1,0,0,9,1,1,23,8,0,2021,3
"12",17,1,-1,0,0,10,1,1,23,5,0,2021,3
"13",6,1,-1,9,4,11,1,1,23,11,0,2021,3
"14",16,1,-1,0,0,12,1,1,23,4,0,2021,3
"15",17,1,-1,0,0,13,1,1,23,15,0,2021,3
"16",10,1,-1,2,4,13,1,1,23,15,0,2021,3
"17",4,1,-1,7,4,13,1,1,23,15,0,2021,3
"18",7,1,-1,1,4,15,1,1,23,13,0,2021,3
"19",11,1,-1,2,4,22,1,1,23,14,0,2021,3
"20",12,1,-1,4,7,22,1,1,23,14,0,2021,3
"21",3,1,-1,0,0,22,1,1,23,14,0,2021,3
"22",15,1,-1,0,0,27,1,1,23,14,0,2021,3
"23",7,1,-1,2,5,28,1,1,23,15,0,2021,3
"24",9,1,-1,8,4,28,1,1,23,15,0,2021,3
"25",0,1,-1,0,0,28,1,1,23,15,0,2021,3
"26",0,1,-1,0,0,28,1,1,23,15,0,2021,3
"27",0,1,-1,0,0,28,1,1,23,15,0,2021,3
"28",15,1,-1,0,0,29,1,1,23,9,0,2021,3
"29",14,1,-1,10,4,31,1,1,23,8,0,2021,3
"30",9,1,-1,0,0,31,1,1,23,8,0,2021,3
"31",0,1,-1,0,0,31,1,1,23,8,0,2021,3
"32",17,1,-1,0,0,32,1,1,23,13,0,2021,3
"33",17,1,-1,10,4,32,1,1,23,13,0,2021,3
"34",16,1,-1,2,5,33,1,1,23,13,0,2021,3
"35",9,1,-1,1,4,34,1,1,23,1,0,2021,3
"36",12,1,-1,4,4,38,1,1,23,10,0,2021,3
"37",13,1,-1,0,0,38,1,1,23,10,0,2021,3
"38",7,1,-1,5,4,44,1,1,23,4,0,2021,3
"39",15,1,-1,0,0,48,1,1,23,9,0,2021,3
"40",15,1,-1,0,0,48,1,1,23,9,0,2021,3
"41",8,1,-1,0,0,48,1,1,23,9,0,2021,3
"42",13,1,-1,4,4,49,1,1,23,8,0,2021,3
"43",12,1,-1,2,5,49,1,1,23,8,0,2021,3
"44",7,1,-1,2,4,55,1,1,23,14,0,2021,3
"45",9,1,-1,3,3,55,1,1,23,14,0,2021,3
"46",0,1,-1,0,0,55,1,1,23,14,0,2021,3
"47",0,1,-1,0,0,55,1,1,23,14,0,2021,3
"48",10,1,-1,2,3,56,1,1,23,14,0,2021,3
"49",10,1,-1,2,2,56,1,1,23,14,0,2021,3
"50",0,1,-1,0,0,56,1,1,23,14,0,2021,3
"51",17,1,-1,0,0,58,1,1,23,15,0,2021,3
"52",12,1,-1,1,1,58,1,1,23,15,0,2021,3
"53",0,1,-1,0,0,58,1,1,23,15,0,2021,3
"54",10,1,-1,3,4,60,1,1,23,6,0,2021,3
"55",2,1,-1,0,0,60,1,1,23,6,0,2021,3
"56",13,1,-1,0,0,61,1,1,23,11,0,2021,3
"57",0,7,-1,0,0,61,1,1,23,11,0,2021,3
"58",15,1,-1,0,0,61,1,1,23,11,0,2021,3
"59",10,1,-1,7,4,65,1,1,23,6,0,2021,3
"60",15,1,-1,0,0,66,1,1,23,10,0,2021,3
"61",8,1,-1,4,6,68,1,1,23,11,0,2021,3
"62",6,1,-1,4,6,68,1,1,23,11,0,2021,3
"63",6,1,-1,5,5,72,1,1,23,16,0,2021,3
"64",7,1,-1,6,7,72,1,1,23,16,0,2021,3
"65",15,1,-1,0,0,74,1,1,23,12,0,2021,3
"66",16,1,-1,10,4,74,1,1,23,12,0,2021,3
"67",9,1,-1,3,5,74,1,1,23,12,0,2021,3
"68",17,1,-1,0,0,78,1,1,23,10,0,2021,3
"69",17,1,-1,0,0,78,1,1,23,10,0,2021,3
"70",7,1,-1,4,4,79,1,1,23,13,0,2021,3
"71",6,1,-1,9,4,79,1,1,23,13,0,2021,3
"72",17,1,-1,0,0,82,1,1,23,9,0,2021,3
"73",17,1,-1,0,0,82,1,1,23,9,0,2021,3
"74",15,1,-1,4,4,84,1,1,23,13,0,2021,3
"75",17,1,-1,0,0,89,1,1,23,15,0,2021,3
"76",16,1,-1,0,0,89,1,1,23,15,0,2021,3
"77",15,1,-1,1,6,91,1,1,23,15,0,2021,3
"78",14,1,-1,2,3,91,1,1,23,15,0,2021,3
"79",15,1,-1,2,5,92,1,1,23,14,0,2021,3
"80",15,1,-1,2,1,92,1,1,23,14,0,2021,3
"81",11,1,-1,3,4,93,1,1,23,12,0,2021,3
"82",2,1,-1,3,4,93,1,1,23,12,0,2021,3
"83",0,1,-1,0,0,93,1,1,23,12,0,2021,3
"84",4,1,-1,3,5,93,1,1,23,12,0,2021,3
"85",0,1,-1,0,0,93,1,1,23,12,0,2021,3
"86",8,1,-1,6,7,94,1,1,23,12,0,2021,3
"87",0,1,-1,0,0,94,1,1,23,12,0,2021,3
"88",17,1,-1,0,0,95,1,1,23,7,0,2021,3
"89",17,1,-1,0,0,97,1,1,23,7,0,2021,3
"90",9,1,-1,2,3,98,1,1,23,10,0,2021,3
"91",0,1,-1,0,0,98,1,1,23,10,0,2021,3
"92",0,1,-1,0,0,98,1,1,23,10,0,2021,3
"93",16,1,-1,0,0,99,1,1,23,12,0,2021,3
"94",16,1,-1,0,0,99,1,1,23,12,0,2021,3
"95",17,1,-1,0,0,100,1,1,23,15,0,2021,3
"96",16,1,-1,0,0,100,1,1,23,15,0,2021,3
"97",17,1,-1,3,4,101,1,1,23,12,0,2021,3
"98",9,1,-1,1,5,103,1,1,23,13,0,2021,3
"99",9,1,-1,9,4,103,1,1,23,13,0,2021,3
"100",9,1,-1,10,4,104,1,1,23,15,0,2021,3
"101",2,1,-1,0,0,104,1,1,23,15,0,2021,3
"102",0,1,-1,0,0,104,1,1,23,15,0,2021,3
"103",0,1,-1,0,0,104,1,1,23,15,0,2021,3
"104",0,1,-1,0,0,104,1,1,23,15,0,2021,3
"105",12,1,-1,9,4,104,1,1,23,15,0,2021,3
"106",16,1,-1,0,0,105,1,1,23,9,0,2021,3
"107",16,1,-1,0,0,105,1,1,23,9,0,2021,3
"108",8,1,-1,1,4,118,1,1,23,14,0,2021,3
"109",8,1,-1,2,6,118,1,1,23,14,0,2021,3
"110",0,1,-1,0,0,118,1,1,23,14,0,2021,3
"111",0,1,-1,0,0,118,1,1,23,14,0,2021,3
"112",15,3,-1,6,7,120,1,1,23,11,0,2021,3
"113",6,3,-1,0,0,120,1,1,23,11,0,2021,3
"114",8,1,-1,1,7,121,1,1,23,15,0,2021,3
"115",8,1,-1,1,4,121,1,1,23,15,0,2021,3
"116",0,1,-1,0,0,121,1,1,23,15,0,2021,3
"117",0,1,-1,0,0,121,1,1,23,15,0,2021,3
"118",11,1,-1,3,4,122,1,1,23,8,0,2021,3
"119",0,1,-1,0,0,122,1,1,23,8,0,2021,3
"120",0,1,-1,0,0,122,1,1,23,8,0,2021,3
"121",0,1,-1,0,0,122,1,1,23,8,0,2021,3
"122",9,1,-1,1,7,123,1,1,23,14,0,2021,3
"123",10,1,-1,5,4,123,1,1,23,14,0,2021,3
"124",0,1,-1,0,0,123,1,1,23,14,0,2021,3
"125",0,1,-1,0,0,123,1,1,23,14,0,2021,3
"126",11,1,-1,4,4,124,1,1,23,14,0,2021,3
"127",8,1,-1,1,4,124,1,1,23,14,0,2021,3
"128",2,1,-1,0,0,124,1,1,23,14,0,2021,3
"129",11,1,-1,0,0,125,1,1,23,6,0,2021,3
"130",15,1,-1,7,7,125,1,1,23,6,0,2021,3
"131",2,1,-1,0,0,125,1,1,23,6,0,2021,3
"132",16,1,-1,0,0,126,1,1,23,9,0,2021,3
"133",15,11,-1,7,7,126,1,1,23,9,0,2021,3
"134",10,1,-1,1,4,127,1,1,23,15,0,2021,3
"135",9,1,-1,5,4,127,1,1,23,15,0,2021,3
"136",3,1,-1,4,4,127,1,1,23,15,0,2021,3
"137",2,1,-1,0,0,127,1,1,23,15,0,2021,3
"138",0,1,-1,0,0,127,1,1,23,15,0,2021,3
"139",7,1,-1,8,4,129,1,1,23,16,0,2021,3
"140",7,1,-1,3,4,129,1,1,23,16,0,2021,3
"141",0,1,-1,0,0,129,1,1,23,16,0,2021,3
"142",0,1,-1,0,0,129,1,1,23,16,0,2021,3
