"","AGE1","PRDTRACE","PRDASIAN","A_MJOCC","PEIO1COW","PH_SEQ","GEDIV","GEREG","GESTFIPS","HEFAMINC","H_TYPEBC","H_YEAR","H_MONTH"
"42095",12,2,-1,5,5,22865,3,2,26,7,0,2019,3
"42096",3,2,-1,0,0,22865,3,2,26,7,0,2019,3
"42097",12,2,-1,0,0,22866,3,2,26,3,0,2019,3
"42098",7,2,-1,5,4,22868,3,2,26,15,0,2019,3
"42099",4,2,-1,5,6,22869,3,2,26,12,0,2019,3
"42100",9,1,-1,8,4,22870,3,2,26,16,0,2019,3
"42101",8,1,-1,2,4,22870,3,2,26,16,0,2019,3
"42102",0,1,-1,0,0,22870,3,2,26,16,0,2019,3
"42103",0,1,-1,0,0,22870,3,2,26,16,0,2019,3
"42104",9,1,-1,1,4,22871,3,2,26,16,0,2019,3
"42105",9,1,-1,9,4,22871,3,2,26,16,0,2019,3
"42106",10,1,-1,9,4,22871,3,2,26,16,0,2019,3
"42107",7,1,-1,3,4,22872,3,2,26,3,0,2019,3
"42108",0,6,-1,0,0,22872,3,2,26,3,0,2019,3
"42109",12,1,-1,4,4,22872,3,2,26,3,0,2019,3
"42110",11,1,-1,7,4,22873,3,2,26,15,0,2019,3
"42111",11,1,-1,2,4,22873,3,2,26,15,0,2019,3
"42112",3,1,-1,0,0,22873,3,2,26,15,0,2019,3
"42113",2,1,-1,0,0,22873,3,2,26,15,0,2019,3
"42114",7,1,-1,2,4,22874,3,2,26,12,0,2019,3
"42115",11,1,-1,2,4,22875,3,2,26,15,0,2019,3
"42116",15,1,-1,0,0,22876,3,2,26,11,0,2019,3
"42117",15,1,-1,0,0,22876,3,2,26,11,0,2019,3
"42118",7,2,-1,3,5,22877,3,2,26,11,0,2019,3
"42119",1,2,-1,0,0,22877,3,2,26,11,0,2019,3
"42120",0,2,-1,0,0,22877,3,2,26,11,0,2019,3
"42121",9,1,-1,5,4,22878,3,2,26,12,0,2019,3
"42122",9,1,-1,0,0,22878,3,2,26,12,0,2019,3
"42123",0,1,-1,0,0,22878,3,2,26,12,0,2019,3
"42124",0,1,-1,0,0,22878,3,2,26,12,0,2019,3
"42125",9,2,-1,8,4,22879,3,2,26,13,0,2019,3
"42126",9,2,-1,3,4,22879,3,2,26,13,0,2019,3
"42127",0,2,-1,0,0,22879,3,2,26,13,0,2019,3
"42128",0,2,-1,0,0,22879,3,2,26,13,0,2019,3
"42129",13,1,-1,2,3,22881,3,2,26,15,0,2019,3
"42130",16,1,-1,4,4,22881,3,2,26,15,0,2019,3
"42131",15,2,-1,3,4,22882,3,2,26,16,0,2019,3
"42132",9,2,-1,0,0,22882,3,2,26,16,0,2019,3
"42133",8,2,-1,3,4,22882,3,2,26,16,0,2019,3
"42134",5,2,-1,3,4,22883,3,2,26,8,0,2019,3
"42135",0,2,-1,0,0,22883,3,2,26,8,0,2019,3
"42136",0,2,-1,0,0,22883,3,2,26,8,0,2019,3
"42137",6,1,-1,8,5,22884,3,2,26,3,0,2019,3
"42138",5,2,-1,5,6,22886,3,2,26,13,0,2019,3
"42139",7,2,-1,0,0,22886,3,2,26,13,0,2019,3
"42140",12,2,-1,4,4,22886,3,2,26,13,0,2019,3
"42141",11,2,-1,9,4,22886,3,2,26,13,0,2019,3
"42142",10,1,-1,2,4,22887,3,2,26,13,0,2019,3
"42143",11,1,-1,10,6,22887,3,2,26,13,0,2019,3
"42144",2,1,-1,3,4,22887,3,2,26,13,0,2019,3
"42145",2,1,-1,0,0,22887,3,2,26,13,0,2019,3
"42146",15,2,-1,0,0,22888,3,2,26,13,0,2019,3
"42147",9,2,-1,5,4,22888,3,2,26,13,0,2019,3
"42148",12,1,-1,0,0,22889,3,2,26,13,0,2019,3
"42149",12,1,-1,9,4,22889,3,2,26,13,0,2019,3
"42150",9,1,-1,2,5,22890,3,2,26,15,0,2019,3
"42151",10,1,-1,3,2,22890,3,2,26,15,0,2019,3
"42152",3,1,-1,3,4,22890,3,2,26,15,0,2019,3
"42153",0,1,-1,0,0,22890,3,2,26,15,0,2019,3
"42154",0,1,-1,0,0,22890,3,2,26,15,0,2019,3
"42155",0,1,-1,0,0,22890,3,2,26,15,0,2019,3
"42156",12,4,1,0,0,22892,3,2,26,15,0,2019,3
"42157",12,4,1,0,0,22892,3,2,26,15,0,2019,3
"42158",6,4,1,10,4,22892,3,2,26,15,0,2019,3
"42159",7,1,-1,3,4,22893,3,2,26,13,0,2019,3
"42160",6,1,-1,0,0,22893,3,2,26,13,0,2019,3
"42161",13,2,-1,2,4,22895,3,2,26,10,0,2019,3
"42162",16,2,-1,0,0,22895,3,2,26,10,0,2019,3
"42163",12,1,-1,0,0,22896,3,2,26,14,0,2019,3
"42164",6,1,-1,9,4,22897,3,2,26,13,0,2019,3
"42165",0,1,-1,0,0,22897,3,2,26,13,0,2019,3
